name,price
Asus X509MA-BQ339T Silver 90NB0Q31-M06410,"409,00"
Lenovo IdeaPad L340-15IRH Gaming 81LK00GVLT,"799,99"
Asus VivoBook Flip 14 Bespoke Black TM420IA-EC134T,"599,00"
Lenovo IdeaPad 3-15ADA 81W1005KPB,"469,00"
Dators Asus Tuf gaming FX505DT,"849,00"
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008FLT,"519,99"
Lenovo IdeaPad 5-15ARE Platinum Grey 81YQ008HLT EN,"619,99"
Asus ROG Strix SCAR III G531GU-AZ419T PL,"1.522,03"
Lenovo Legion 5-15 81Y600DTLT,"1.059,99"
Lenovo Ideapad S540-14API 81NH003TPB Mineral Grey,"660,00"
Asus ZenBook 13 UX325JA-EG155R Lilac Mist EN,"888,00"
Asus ZenBook 14 UX425JA-HM254T Pine Grey,"999,99"
Lenovo IdeaPad 3-15ADA 81W1005LPB,"613,99"
Lenovo IdeaPad 3-15IIL Grey 81WE0063PB PL,"641,75"
Lenovo Ideapad S540-14API Grey 81NH004APB PL,"739,97"
Lenovo IdeaPad 5-15IIL Granite Black 81YK0066PB PL,"705,00"
Asus ZenBook 13 UX325JA-AH090R EN,"906,06"
"Apple MacBook Air 13.3"" Retina DC / i3 1.1GHz / 8GB / 256 SSD / ENG Space Gray","1.459,00"
Lenovo IdeaPad 3-15 ILL Grey 81WE00H6PB,"611,20"
Lenovo IdeaPad 3-17 AMD Platinum Gray 81W20017PB PL,"582,97"
Lenovo IdeaPad L340-15IRH Gaming 81LK01CGPB PL,"980,00"
Lenovo ThinkPad L13 Black 20R30005MH,"891,07"
Lenovo IdeaPad 3-15IMH 81Y400JJPB,"941,14"
Huawei Honor MagicBook Space Gray 53010WKX,"650,00"
ASUS TUF Gaming FX505DV-AL026,"1.158,00"
Huawei MateBook D14 R5/8GB/512GB/W10,"715,00"
Lenovo IdeaPad L340-15IRH Gaming 81LK00AUPB,"695,00"
Lenovo IdeaPad L340-15IRH Gaming 81LK01KJPB,"799,00"
Acer Nitro 5 AN515-55-516M Black,"862,77"
Dators MSI GL65 Leopard I5 DOS,"999,00"
Lenovo IdeaPad 3-15ADA 81W10032PB PL,"550,00"
Asus VivoBook Flip 14 TP412FA-EC661T Touch PL,"628,11"
Lenovo IdeaPad 3-15ADA 81W1002YPB,"515,07"
Lenovo IdeaPad 3-17ADA Platinum Gray 81W2002BPB PL,"538,94"
MSI GL65 9SCXR-046XPL,"873,78"
MSI GL65 Leopard 10SER-012XPL PL,"1.304,99"
Lenovo IdeaPad 1-14AST Silver 81VS005PPB,"445,79"
MSI GL65 Leopard 10SCSR-007XPL PL,"821,00"
Acer Nitro 5 AN515-55 Black NH.Q7QEP.002 PL,"1.360,35"
Asus VivoBook 15 M509DA-EJ034T Silver PL,"711,99"
HP 17-ca2004nw 226R6EA,"655,00"
Acer Aspire 5 A515-55 Black NX.HSKEL.006,"749,00"
Acer Nitro 5 AN515-55 Black NH.Q7JEP.00B,"893,30"
