name,price,link
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00ULLT
","885,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
HP 250 G7 Black 6UL79EA PL
","459,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Inspiron 15 5593 Silver 273256761
","660,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK012ULT
","689,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
ASUS TUF Gaming FX505DU-AL083R Gold Steel
","1.097,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad S145-15IWL Full HD SSD Whiskey Lake i3 W10
","428,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00YTPB
","736,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Legion Y540-15IRH 81SX00MWLT
","893,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad S145-15IGM Grey 81MX007LLT
","356,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo V15-IIL 82C50075MH
","565,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad L340-17IRH Gaming Black 81LK00AYPB PL
","794,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus TUF Gaming FX705DU-AU033R
","1.132,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
HP 250 G7 Silver 6BP03EA#ABB
","661,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Acer Nitro 5 AN515-43 Black NH.Q6NEP.001
","649,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus VivoBook 14 X403FA-EB139T Silver Blue
","599,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad 330S-15 Full HD SSD Kaby Lake i3 W10
","486,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Notebook Acer Aspire 5 A515-43G Black
","590,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00YUPB PL
","878,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo ThinkBook 15 Gray 20SM000GMH
","984,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus TUF Gaming FX705DU-H7087 PL
","985,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming i5 8/512GB GTX1050 DOS
","689,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo V340 Iron Grey 81RG000FMH
","785,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell G3 15 3590 Black 273282437
","740,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Legion Y540-15IRH 81SX00MSLT
","950,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus ZenBook UX434FLC-A5305T Silver
","1.245,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo ThinkPad E595 Black 20NF001HMH
","741,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
HP 250 G7 Silver 6BP19EA#ABB
","609,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad L340-17API Black R3 4/256GB W10H PL
","531,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad C340-14IML 81TK00BTPB PL
","596,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Legion Y540-15IRH 81SX00QDPB PL
","1.126,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus ZenBook 13 UX333FAC A3107T Silver
","826,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad S540-15IML Grey 81NG002RPB PL
","649,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad S145-14IIL Black 81W6003QPB PL
","623,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Vostro 3591 Black i5 8/512GB W10P PL
","726,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad L340-17IRH Gaming Black 81LL0042PB PL
","808,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Vostro 14 3490 Black N1107VN3490EMEA01
","639,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus VivoBook 14 X412DA-EK327T Silver PL
","531,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad S145-15IIL 81W80070PB
","547,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad C340-14IML 81TK00BYPB PL
","542,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad S145-15IIL 81W80071PB PL
","669,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00AXPB
","822,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
