title,pric
"
                Prestigio Visconte Ecliptica, 13.3"", SSD 32GB, RAM 2GB, Intel Atom x5, Intel HD Graphics, ENG/RUS, Windows 10 Home...
            ","
                Prestigio Visconte Ecliptica, 13.3"", SSD 32GB, RAM 2GB, Intel Atom x5, Intel HD Graphics, ENG/RUS, Windows 10 Home...
            "
"
                Portatīvais dators Prestigio Smartbook 133S, zelta krāsā
            ","
                Portatīvais dators Prestigio Smartbook 133S, zelta krāsā
            "
"
                ASUS TUF Gaming FX705DU-AU033R Melns Portatīvais dators 43,9 cm (17.3"") 1920 x 1080 pikseļi AMD Ryzen 7 16 GB 512...
            ","
                ASUS TUF Gaming FX705DU-AU033R Melns Portatīvais dators 43,9 cm (17.3"") 1920 x 1080 pikseļi AMD Ryzen 7 16 GB 512...
            "
"
                Dell Vostro 3590, 15.6"", 256GB SSD, 8GB RAM, Intel i3-10110U, Intel UHD, Win 10 Pro (MJD6T)
            ","
                Dell Vostro 3590, 15.6"", 256GB SSD, 8GB RAM, Intel i3-10110U, Intel UHD, Win 10 Pro (MJD6T)
            "
"
                DELL Latitude 5500 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 16 GB DDR4-SDRAM...
            ","
                DELL Latitude 5500 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 16 GB DDR4-SDRAM...
            "
"
                MSI Gaming GF63 9SC-833NL Thin Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 9th gen Intel® Core™...
            ","
                MSI Gaming GF63 9SC-833NL Thin Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 9th gen Intel® Core™...
            "
"
                Prestigio Smartbook 141 C3 14,1"" 2GB/64GB, silver
            ","
                Prestigio Smartbook 141 C3 14,1"" 2GB/64GB, silver
            "
"
                HP Omen 17.3"", HDD 1TB + SSD 512GB, RAM 32GB, Intel i9,  GeForce RTXTM 2080, Windows 10 Home (6ZJ37EA#ABU)
            ","
                HP Omen 17.3"", HDD 1TB + SSD 512GB, RAM 32GB, Intel i9,  GeForce RTXTM 2080, Windows 10 Home (6ZJ37EA#ABU)
            "
"
                Prestigio Smartbook 133S portatīvais dators, 32GB SSD, 4GB RAM, Intel Celeron, Windows 10 Pro + Office 365 1 gadam,...
            ","
                Prestigio Smartbook 133S portatīvais dators, 32GB SSD, 4GB RAM, Intel Celeron, Windows 10 Pro + Office 365 1 gadam,...
            "
"
                Lenovo IdeaPad S145 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi Intel® Celeron® N 4 GB DDR4-SDRAM...
            ","
                Lenovo IdeaPad S145 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi Intel® Celeron® N 4 GB DDR4-SDRAM...
            "
"
                Techbite ARC 11.6/N4000/4GB/64GB/INTELUHD/W10 Pro black
            ","
                Techbite ARC 11.6/N4000/4GB/64GB/INTELUHD/W10 Pro black
            "
"
                HP 14-dq1037wm Pelēks, Sudrabs Portatīvais dators 35,6 cm (14"") 1366 x 768 pikseļi 10th gen Intel® Core™ i3 4 GB...
            ","
                HP 14-dq1037wm Pelēks, Sudrabs Portatīvais dators 35,6 cm (14"") 1366 x 768 pikseļi 10th gen Intel® Core™ i3 4 GB...
            "
"
                Lenovo V330 Pelēks Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi AMD Ryzen 5 8 GB DDR4-SDRAM 256 GB SSD...
            ","
                Lenovo V330 Pelēks Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi AMD Ryzen 5 8 GB DDR4-SDRAM 256 GB SSD...
            "
"
                ASUS VivoBook Series X512DA-BQ882T CPU 3500U 2100 MHz 15.6
            ","
                ASUS VivoBook Series X512DA-BQ882T CPU 3500U 2100 MHz 15.6
            "
"
                Acer Predator Helios 300 PH315-52-5983 Black, 15.6"", 256GB SSD, 1TB HDD, 16GB RAM, Intel i5-9300H, NVIDIA GeForce...
            ","
                Acer Predator Helios 300 PH315-52-5983 Black, 15.6"", 256GB SSD, 1TB HDD, 16GB RAM, Intel i5-9300H, NVIDIA GeForce...
            "
"
                Poetatīvais dators Lenovo ThinkPad E595, 15.6"" Full HD, AMD Ryzen 5 3500U, 16GB RAM, 512GB SSD, Windows 10 Pro,...
            ","
                Poetatīvais dators Lenovo ThinkPad E595, 15.6"" Full HD, AMD Ryzen 5 3500U, 16GB RAM, 512GB SSD, Windows 10 Pro,...
            "
"
                LENOVO IdeaPad S145-15IGM CPU N5000 1100 MHz 15.6
            ","
                LENOVO IdeaPad S145-15IGM CPU N5000 1100 MHz 15.6
            "
"
                DELL Vostro 3591 CPU i5-1035G1 1000 MHz 15.6
            ","
                DELL Vostro 3591 CPU i5-1035G1 1000 MHz 15.6
            "
"
                DELL Vostro 3491 CPU i5-1035G1 1000 MHz 14
            ","
                DELL Vostro 3491 CPU i5-1035G1 1000 MHz 14
            "
"
                DELL XPS 13 7390 Sudrabs, Balts Portatīvais dators 33,8 cm (13.3"") 1920 x 1080 pikseļi 10th gen Intel® Core™ i5...
            ","
                DELL XPS 13 7390 Sudrabs, Balts Portatīvais dators 33,8 cm (13.3"") 1920 x 1080 pikseļi 10th gen Intel® Core™ i5...
            "
"
                Lenovo Legion Y540 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 9th gen Intel® Core™ i7 8 GB DDR4-SDRAM...
            ","
                Lenovo Legion Y540 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 9th gen Intel® Core™ i7 8 GB DDR4-SDRAM...
            "
"
                Portatīvais dators HP Spectre x360 Convertible 13-aw0900no, 8UL97EA#UUW
            ","
                Portatīvais dators HP Spectre x360 Convertible 13-aw0900no, 8UL97EA#UUW
            "
